,Name,2_March,18_May
3203,RDB Rasayans,159.9,136.05
3204,RDB Realty & Infra,164.0,141.3
3205,Real Eco Energy,38.16,32.56
3206,Real Strips,8.6,8.6
3207,Real Touch,45.44,41.35
3208,RECL,462.25,544.85
3209,Redington,209.45,210.95
3210,Redtape,604.05,729.0
3211,Refex Industries,663.45,150.9
3212,Refex Industries,663.45,150.9
3213,Refex Renewbl&Infra,593.35,530.1
3214,Refnol Resins,102.85,102.85
3215,Regal Entertainement,5.85,5.85
3216,Regaliaa Realty,0.0,0.0
3217,Regency Fincorp,12.5,13.4
3218,Regency Trust,3.23,3.64
3219,Regent Enterprises,4.28,4.16
3220,Regis Ind.,101.9,118.95
3221,Rekvina Labs,4.5,4.5
3222,Relaxo Footwears,831.95,829.85
3223,Reliable Ventures,30.0,25.44
3224,Reliance Capital,12.35,12.35
3225,Reliance Chemo,225.75,201.65
3226,Reliance Comm,2.0,1.65
3227,Reliance Home Finance,2.95,3.65
3228,Reliance Inds Infra,1475.15,1232.6
3229,Reliance Industries,2982.15,2869.65
3230,Reliance Infrastructure,226.05,171.1
3231,Reliance Naval,2.3,2.3
3232,Reliance Power,23.75,26.15
3233,Relic Technologies,17.0,16.92
3234,Relicab Cable,94.3,103.0
3235,Religare Enterprises,235.15,217.8
3236,Remedium Lifecare,126.75,81.0
3237,Remedium Lifecare,126.75,81.0
3238,Remedium Lifecare,126.75,81.0
3239,Remedium Lifecare,126.75,81.0
3240,Remedium Lifecare,126.75,81.0
3241,Remedium Lifecare,126.75,81.0
3242,Remedium Lifecare,126.75,81.0
3243,Remedium Lifecare,126.75,81.0
3244,Remedium Lifecare,126.75,81.0
3245,Remi Edelstahl,80.02,102.39
3246,Remi Elektro,0.0,0.0
3247,Remi Sales,0.0,0.0
3248,Remi Securities,15.41,15.41
3249,Remsons Industries,1047.2,978.5
3250,Renaissance Global,129.55,106.5
3251,Repco Home Finance,445.15,510.35
3252,Repro India,853.85,770.75
3253,Resonance Specialties,108.15,104.05
3254,Response Informatics,81.0,75.6
3255,Responsive Industries,307.25,304.1
3256,Restaurant Brands,108.7,104.95
3257,Restile Ceramics,4.44,4.55
3258,Rexnord Electronics,119.9,140.3
3259,RGF Cap Markets,0.7,0.63
3260,RHI Magnesita,578.1,658.0
3261,Riba Textiles,72.3,77.0
3262,Rich Universe,19.3,17.61
3263,Richa Industries,1.95,1.3
